name,F,M,all,ratio,gender
Janae,14592.0,6.0,14598,-7.79646924309,F
Graciela,14522.0,39.0,14561,-5.91985837381,F
Chantel,14526.0,11.0,14537,-7.18580015337,F
Coleman,17.0,14507.0,14524,6.74917322648,M
Cristal,14456.0,55.0,14511,-5.57153164704,F
Augustine,3491.0,11012.0,14503,1.14879735916,M
Bertie,13634.0,856.0,14490,-2.76805157578,F
Donnell,1026.0,13464.0,14490,2.57435171014,M
Corine,14458.0,17.0,14475,-6.7457898295,F
Ward,15.0,14460.0,14475,6.87109129461,M
Adolfo,10.0,14390.0,14400,7.27170370689,M
Deon,1657.0,12687.0,14344,2.03556910871,M
Dusty,4258.0,10085.0,14343,0.862249604935,M
Tierra,14271.0,70.0,14341,-5.31748954305,F
Kaylin,13916.0,424.0,14340,-3.49106108104,F
Jordon,1774.0,12561.0,14335,1.95735989182,M
Deshawn,1183.0,13144.0,14327,2.40791179574,M
Bryon,17.0,14284.0,14301,6.73368196466,M
Danna,14148.0,135.0,14283,-4.65205377189,F
Tillie,14223.0,27.0,14250,-6.26677878557,F
Libby,14237.0,5.0,14242,-7.95416157618,F
Ronny,467.0,13736.0,14203,3.38144614491,M
Gussie,13084.0,1098.0,14182,-2.47789976659,F
Kierra,14163.0,18.0,14181,-6.66801645132,F
Earlene,14159.0,5.0,14164,-7.94866783085,F
Melva,14133.0,29.0,14162,-6.18897193738,F
Terra,14135.0,5.0,14140,-7.94697135769,F
Aniyah,14132.0,5.0,14137,-7.94675909604,F
Dulce,14074.0,49.0,14123,-5.66026410442,F
Rosalinda,14117.0,5.0,14122,-7.94569711145,F
Denver,727.0,13384.0,14111,2.91288876513,M
Leonel,5.0,14097.0,14102,7.94427937534,M
Chanel,14002.0,85.0,14087,-5.10430419905,F
Aline,14047.0,5.0,14052,-7.9407262164,F
Concetta,14042.0,5.0,14047,-7.94037020514,F
Delmar,134.0,13904.0,14038,4.64209204755,M
Karyn,13955.0,5.0,13960,-7.93415523354,F
Tyrell,145.0,13810.0,13955,4.55641450398,M
Tyra,13791.0,142.0,13933,-4.57594442687,F
Kassidy,13680.0,243.0,13923,-4.03062874784,F
Baylee,13352.0,568.0,13920,-3.15730004662,F
Dayna,13812.0,87.0,13899,-5.06738493986,F
Brice,324.0,13548.0,13872,3.73325069815,M
Kaitlynn,13864.0,5.0,13869,-7.92761291896,F
Donte,137.0,13729.0,13866,4.60728473707,M
Harris,77.0,13782.0,13859,5.18731325006,M
Meaghan,13827.0,7.0,13834,-7.58846833233,F
Hans,5.0,13809.0,13814,7.92363792005,M
Lyndsey,13784.0,27.0,13811,-6.2354269122,F
Weldon,25.0,13675.0,13700,6.30444880242,M
Marci,13662.0,11.0,13673,-7.12447826249,F
Jamison,1443.0,12205.0,13648,2.13512142405,M
Stephany,13634.0,5.0,13639,-7.91088403949,F
Tamra,13632.0,5.0,13637,-7.91073733663,F
Ahmad,18.0,13616.0,13634,6.62862909292,M
Scot,11.0,13618.0,13629,7.12125245324,M
Jamar,73.0,13546.0,13619,5.22338713863,M
Houston,231.0,13385.0,13616,4.05947224543,M
Queen,13584.0,31.0,13615,-6.08266070407,F
Rosanna,13590.0,6.0,13596,-7.72533003792,F
Lourdes,13488.0,69.0,13557,-5.27544917564,F
Kaye,13031.0,503.0,13534,-3.25449624305,F
Rashad,85.0,13446.0,13531,5.06378568654,M
Jaqueline,13490.0,23.0,13513,-6.37420973327,F
Asa,872.0,12637.0,13509,2.67359487385,M
Truman,26.0,13482.0,13508,6.25101420339,M
Carlie,12213.0,1292.0,13505,-2.24630955283,F
Michel,3410.0,10075.0,13485,1.08334481654,M
Renae,13432.0,33.0,13465,-6.00888763729,F
Kaleigh,13437.0,6.0,13443,-7.71400790565,F
Carina,13405.0,35.0,13440,-5.94803498918,F
Brynn,13122.0,290.0,13412,-3.81216456692,F
Clement,6.0,13405.0,13411,7.71162358144,M
Lina,13395.0,5.0,13400,-7.89319886954,F
Rowan,5590.0,7772.0,13362,0.329548244348,M
Beverley,12937.0,396.0,13333,-3.48643249066,F
Emely,13289.0,16.0,13305,-6.72210318209,F
Domingo,26.0,13268.0,13294,6.23501386205,M
Jaylin,5378.0,7911.0,13289,0.385937638193,M
Cadence,12442.0,841.0,13283,-2.6942414651,F
Carlo,80.0,13196.0,13276,5.10564239767,M
Mina,12822.0,412.0,13234,-3.4378943752,F
Georgie,11728.0,1493.0,13221,-2.06119162659,F
Tyree,729.0,12428.0,13157,2.8360335385,M
Alvaro,5.0,13146.0,13151,7.87443489639,M
Maud,13119.0,31.0,13150,-6.0478296356,F
Jameson,529.0,12601.0,13130,3.17054302301,M
Jayda,13091.0,24.0,13115,-6.30162641983,F
Kiersten,13107.0,5.0,13112,-7.87146380519,F
